exercise_id,name,pattern,plane,mechanic,unilateral,primary_muscle,primary_activation,secondary_muscles,secondary_activations,stabilizers,joint_stress_spine,joint_stress_knee,joint_stress_shoulder,global_instability,coordination_demand,constraint_profile
HAM-001,Extension-lombaire-au-banc-45,spine_extension,sagittal,compound,false,hamstrings,0.5,gluteus_maximus|spine_erectors,0.3|0.2,core,6,3,1,4,4,hinge_load
HAM-002,Fente-avant-barre-femme,unilateral_lunge,sagittal,compound,true,hamstrings,0.4,gluteus_maximus|quadriceps,0.3|0.3,core,6,4,2,6,6,barbell_load
HAM-003,Fentes-avant-kettlebell,unilateral_lunge,sagittal,compound,true,hamstrings,0.4,gluteus_maximus|quadriceps,0.3|0.3,core,5,4,2,6,6,offset_load
HAM-004,Front-squat-avec-halteres,squat,sagittal,compound,false,quadriceps,0.5,hamstrings|gluteus_maximus,0.3|0.2,core,6,5,2,4,4,front_load
HAM-005,Glute-ham-developer-ghd,leg_curl,sagittal,compound,false,hamstrings,0.85,gluteus_maximus|spine_erectors,0.1|0.05,core,7,3,1,5,5,posterior_chain
HAM-006,Good-morning-elastique,hip_hinge,sagittal,compound,false,hamstrings,0.6,gluteus_maximus|spine_erectors,0.3|0.1,core,6,3,2,5,5,elastic_hinge
HAM-007,Good-morning-exercice,hip_hinge,sagittal,compound,false,hamstrings,0.6,gluteus_maximus|spine_erectors,0.3|0.1,core,7,4,3,5,5,hinge_load
HAM-008,Homme-faisant-un-squat-avec-barre,squat,sagittal,compound,false,quadriceps,0.5,hamstrings|gluteus_maximus,0.25|0.25,core,7,5,2,4,4,barbell_load
HAM-009,Kettlebell-back-squat,squat,sagittal,compound,false,quadriceps,0.5,hamstrings|gluteus_maximus,0.25|0.25,core,5,4,2,5,5,offset_load
HAM-010,Kettlebell-swing,hip_hinge,sagittal,ballistic,false,hamstrings,0.65,gluteus_maximus|core,0.25|0.1,core,7,3,2,7,7,ballistic
HAM-011,Leg-curl-allonge,leg_curl,sagittal,isolation,false,hamstrings,0.9,calves,0.1,knee,2,2,1,2,2,machine_stability
HAM-012,Leg-curl-assis-machine,leg_curl,sagittal,isolation,false,hamstrings,0.9,calves,0.1,knee,2,2,1,2,2,machine_stability
HAM-013,Leg-curl-avec-elastique,leg_curl,sagittal,isolation,false,hamstrings,0.85,calves,0.15,knee,2,2,1,4,4,elastic_resistance
HAM-014,Leg-curl-avec-elastique-musculation,leg_curl,sagittal,isolation,false,hamstrings,0.85,calves,0.15,knee,2,2,1,4,4,elastic_resistance
HAM-015,Leg-curl-avec-sangles-de-suspension,leg_curl,sagittal,compound,false,hamstrings,0.8,core|gluteus_maximus,0.1|0.1,core,4,2,1,7,7,instability_high
HAM-016,Leg-curl-ballon-gym,leg_curl,sagittal,compound,false,hamstrings,0.75,core|gluteus_maximus,0.15|0.1,core,4,2,1,8,8,instability_high
HAM-017,Leg-curl-decline-haltere,leg_curl,sagittal,compound,false,hamstrings,0.7,gluteus_maximus|core,0.2|0.1,core,5,3,1,5,5,free_weight_control
HAM-018,Leg-curl-inverse-machine-tirage-vertical,leg_curl,sagittal,isolation,false,hamstrings,0.85,gluteus_maximus,0.15,knee,3,2,1,2,2,machine_stability
HAM-019,Leg-curl-unilateral-debout-machine,leg_curl,sagittal,isolation,true,hamstrings,0.9,gluteus_maximus,0.1,knee,3,2,1,3,3,unilateral_control
HAM-020,Marche-du-fermier-avec-kettbells,farmers_walk,sagittal,compound,false,hamstrings,0.4,gluteus_maximus|core,0.3|0.3,core,4,2,2,8,8,loaded_carry
HAM-021,Nordic-hamstring-curl-avec-elastique,leg_curl,sagittal,compound,false,hamstrings,0.95,gluteus_maximus,0.05,knee,6,3,1,6,6,high_eccentric
HAM-022,Presse-a-cuisses-inclinee,leg_press,sagittal,compound,false,quadriceps,0.5,hamstrings|gluteus_maximus,0.3|0.2,knee,5,6,2,3,3,machine_stability
HAM-023,Presse-a-cuisses-verticale,leg_press,sagittal,compound,false,quadriceps,0.55,hamstrings|gluteus_maximus,0.3|0.15,knee,6,7,2,3,3,vertical_load
HAM-024,Rack-pull,hip_hinge,sagittal,compound,false,gluteus_maximus,0.5,spine_erectors|hamstrings,0.3|0.2,core,8,4,3,4,4,partial_range
HAM-025,Reeves-deadlift,hip_hinge,sagittal,compound,false,hamstrings,0.55,gluteus_maximus|core,0.3|0.15,core,8,4,3,6,6,grip_load
HAM-026,Souleve-de-terre,hip_hinge,sagittal,compound,false,hamstrings,0.5,gluteus_maximus|spine_erectors,0.3|0.2,core,8,4,3,5,5,hinge_load
HAM-027,Souleve-de-terre-a-la-trap-bar,hip_hinge,sagittal,compound,false,hamstrings,0.45,quadriceps|gluteus_maximus,0.3|0.25,core,7,5,2,4,4,trap_bar_load
