exercise_id,name,pattern,plane,mechanic,unilateral,primary_muscle,primary_activation,secondary_muscles,secondary_activations,stabilizers,joint_stress_spine,joint_stress_knee,joint_stress_shoulder,global_instability,coordination_demand,constraint_profile
ABS-001,Ab coaster abdominaux,core_flexion,sagittal,isolation,false,rectus_abdominis,0.7,hip_flexors|obliques,0.2|0.1,transverse_abdominis,4,1,1,3,3,spine_flexion_control
ABS-002,Abdominaux a la barre,core_flexion,sagittal,compound,false,rectus_abdominis,0.6,hip_flexors|lats,0.25|0.15,grip|shoulders,5,1,5,6,6,grip_demand|shoulder_load
ABS-003,Bear plank avec kickback,core_anti_extension,sagittal,compound,true,transverse_abdominis,0.5,glutes|shoulders,0.3|0.2,core_global,3,2,4,7,7,instability_high|coordination_high
ABS-004,Cercles jambes tendues,core_anti_extension,transverse,isolation,false,lower_abs,0.6,hip_flexors|obliques,0.25|0.15,transverse_abdominis,4,1,1,6,6,lumbar_control
ABS-005,Chinese plank,core_anti_extension,sagittal,isometric,false,transverse_abdominis,0.7,glutes|hamstrings,0.2|0.1,spine_erectors,3,1,1,5,4,posterior_chain_engagement
ABS-006,Ciseaux,core_anti_extension,sagittal,isolation,false,lower_abs,0.65,hip_flexors|obliques,0.2|0.15,transverse_abdominis,4,1,1,5,5,lumbar_stability
ABS-007,Cocon abdominaux,core_flexion,sagittal,isolation,false,rectus_abdominis,0.75,hip_flexors|obliques,0.15|0.1,transverse_abdominis,4,1,1,4,4,controlled_flexion
ABS-008,Crunch poulie obliques,core_rotation,transverse,isolation,false,obliques,0.7,rectus_abdominis|hip_flexors,0.2|0.1,transverse_abdominis,3,1,1,3,4,rotational_load
ABS-009,Crunch au sol,core_flexion,sagittal,isolation,false,rectus_abdominis,0.8,obliques,0.2,transverse_abdominis,3,1,1,2,2,low_instability
ABS-010,Crunch jambes verticales,core_flexion,sagittal,isolation,false,rectus_abdominis,0.75,hip_flexors|obliques,0.15|0.1,transverse_abdominis,4,1,1,3,3,hip_flexor_bias
ABS-011,Crunch debout elastique,core_flexion,sagittal,isolation,false,rectus_abdominis,0.65,obliques|shoulders,0.2|0.15,core_global,3,1,3,4,4,elastic_resistance
ABS-012,Crunch lateral banc,core_rotation,frontal,isolation,false,obliques,0.75,rectus_abdominis,0.25,transverse_abdominis,3,1,1,3,3,side_bias
